"Best4.Enterocytes","Enterocytes","Enteroendocrine","Goblet","Stem","TA"
1616,1517,1419,1631,1603,1677
3588,3214,2216,3188,3658,3680
3914,3235,3236,3748,3539,3760
2674,2031,3681,2805,2734,2548
4147,6468,3523,4662,4347,4759
972,974,1066,1331,1116,1079
4647,4501,5220,4557,4893,4871
5896,7556,4182,6495,6787,6769
5379,6275,4988,6532,5630,5934
10047,11839,10125,11301,10276,10324
4359,5127,4135,5498,4893,4844
4827,4147,3292,4247,4341,4263
1537,1580,936,1580,1490,1601
2192,1980,2068,2122,2112,2016
5297,7009,4312,4379,5055,5065
3729,3267,4126,3793,4188,3725
6774,9974,5869,7524,6633,7503
2322,2091,2559,2636,2445,2462
2853,1694,2624,2428,2476,2288
3187,2626,3440,2918,2661,2529
5748,5323,5313,5040,5527,5793
5725,7637,6083,6750,5147,5300
3710,3739,4942,4164,4040,3854
1531,1912,1419,1945,1729,1701
1282,1124,890,1047,1358,1293
1189,1530,872,1074,1295,1358
1982,1368,1419,3309,2251,1910
3008,3116,4701,3116,2872,2738
3065,1227,1780,1413,1463,1384
1449,1022,1363,1114,1113,1034
1107,980,779,1043,1133,1011
4087,3780,4822,3884,4131,3804
4580,4296,3829,4301,4984,5169
1122,1405,955,1290,1288,1317
3764,3131,3718,3468,2987,2929
5115,3896,4914,5514,4794,4787
1633,1661,1150,1622,1804,1799
1662,1919,3115,2216,1875,1777
4193,3707,4330,4327,4430,4454
1379,1590,983,1413,1518,1586
4022,3981,2837,3574,3467,3547
2123,1554,2670,2460,2445,2021
3023,2712,3857,2839,3210,3344
5445,7854,3496,5925,5485,5838
1355,1624,1224,1260,1676,1624
3032,3040,3783,2737,2941,2945
4008,4073,5619,4813,3626,3786
2894,2597,4265,3182,3264,3257
1069,961,668,1199,1109,1014
815,959,612,871,945,922
1195,1063,1409,1614,1390,1357
2040,2234,2596,2051,2379,2376
2844,2253,1956,2603,2728,2807
2635,3065,1511,2224,2646,2849
3339,3229,3227,3069,3391,3306
